Date		Price	Open	High	Low	Vol.	Change%	
12-Feb-16	706.89	712.21	716	701.58	2.33M	0.08%	
16-Feb-16	717.64	718.65	722.88	710.18	2.17M	1.52%	
17-Feb-16	731.97	727	733.76	716.61	2.46M	2.00%	
18-Feb-16	717.51	733.96	736	715.55	2.36M	-1.98%	
19-Feb-16	722.11	715.9	724.03	713.12	1.75M	0.64%	
22-Feb-16	729.05	729.51	734.85	723.45	1.88M	0.96%	
23-Feb-16	717.29	726.1	730.9	715.67	2.07M	-1.61%	
24-Feb-16	720.9	710.61	721.22	702.02	1.85M	0.50%	
25-Feb-16	729.12	722.93	729.51	713.23	1.81M	1.14%	
26-Feb-16	724.86	733.6	736.16	721.94	2.12M	-0.58%	
27-Feb-16	724.62	724.44	724.62	724.44	1.92M	-0.03%	
29-Feb-16	717.22	721	730.6	716.84	2.25M	-1.02%	
1-Mar-16	742.17	721.3	742.33	718.64	3.01M	3.48%	
2-Mar-16	739.48	742.87	743.12	733.25	1.81M	-0.36%	
3-Mar-16	731.59	739.48	741	729.63	2.03M	-1.07%	
4-Mar-16	730.22	734.8	735	725.62	2.43M	-0.19%	
7-Mar-16	712.8	725.15	727.21	705.14	3.09M	-2.39%	
8-Mar-16	713.53	708.39	722.25	704	2.63M	0.10%	
9-Mar-16	725.41	715.16	726.24	712.66	1.98M	1.66%	
10-Mar-16	732.17	727.79	736.54	723.29	2.23M	0.93%	
11-Mar-16	744.87	739.95	744.9	736.7	1.77M	1.73%	
14-Mar-16	750.24	744.97	754.26	743.66	1.64M	0.72%	
15-Mar-16	750.57	746.02	753.01	742.84	1.49M	0.04%	
16-Mar-16	757.36	749.05	759	746.5	1.47M	0.90%	
17-Mar-16	758.48	757.65	765.34	757.36	2.23M	0.15%	
18-Mar-16	755.41	761.63	762.14	751.82	2.81M	-0.40%	
21-Mar-16	762.16	753.91	763.34	751.27	1.44M	0.89%	
22-Mar-16	760.05	758.44	765	757.88	1.10M	-0.28%	
23-Mar-16	757.56	763.35	765.39	756.03	1.23M	-0.33%	
24-Mar-16	754.84	751.2	757.55	750.5	1.56M	-0.36%	
28-Mar-16	753.28	756.17	758.3	752.04	1.08M	-0.21%	
29-Mar-16	765.89	753.68	767.18	748.29	2.00M	1.67%	
30-Mar-16	768.34	768.21	777.31	767.58	2.02M	0.32%	
31-Mar-16	762.9	768.34	769.08	758.25	1.63M	-0.71%	
1-Apr-16	769.67	757.16	770.04	755.2	1.58M	0.89%	
4-Apr-16	765.12	769.51	772.44	761.78	1.35M	-0.59%	
5-Apr-16	758.57	758.13	762.87	755.6	1.22M	-0.86%	
6-Apr-16	768.07	757.84	768.42	756.3	1.27M	1.25%	
7-Apr-16	760.12	765.32	769.36	757.5	1.27M	-1.04%	
8-Apr-16	759.47	765.87	767.13	755.77	1.17M	-0.09%	
11-Apr-16	757.54	765.45	767.22	757.34	1.59M	-0.25%	
12-Apr-16	764.32	758.43	764.92	751.57	1.37M	0.90%	
13-Apr-16	771.91	770.31	775.75	764.59	1.77M	0.99%	
14-Apr-16	775.39	775.36	779.61	773.22	1.35M	0.45%	
15-Apr-16	780	775.5	780.93	774.93	1.59M	0.59%	
18-Apr-16	787.68	780.19	788.55	777.61	1.68M	0.98%	
19-Apr-16	776.25	790.5	790.95	770.27	2.20M	-1.45%	
20-Apr-16	774.92	779.16	779.66	771.27	1.71M	-0.17%	
21-Apr-16	780	777.31	781.68	771.55	3.88M	0.66%	
22-Apr-16	737.77	743.91	753.92	730.37	7.04M	-5.41%	
25-Apr-16	742.21	735.35	744.88	735.1	2.47M	0.60%	
26-Apr-16	725.37	744.42	745.59	720.32	2.79M	-2.27%	
27-Apr-16	721.46	725.32	727.15	709.08	3.31M	-0.54%	
28-Apr-16	705.06	723.29	729.26	703.2	3.13M	-2.27%	
29-Apr-16	707.88	704.12	712.11	703.78	2.91M	0.40%	
2-May-16	714.41	711.92	715.41	706.36	1.67M	0.92%	
3-May-16	708.44	712.5	713.37	707.33	1.93M	-0.84%	
4-May-16	711.37	706.77	715.05	704.05	1.71M	0.41%	
5-May-16	714.71	715	717.55	709.45	1.48M	0.47%	
6-May-16	725.18	712.2	725.99	711.95	2.00M	1.46%	
9-May-16	729.13	726.7	734.29	723.5	1.90M	0.54%	
10-May-16	739.38	734.96	740	731.61	1.63M	1.41%	
11-May-16	730.55	740.52	740.8	727.9	1.49M	-1.19%	
12-May-16	728.07	732	735.37	724.27	1.35M	-0.34%	
13-May-16	724.83	726.62	731.29	723.51	1.26M	-0.45%	
16-May-16	730.3	724.32	732.68	720	1.13M	0.75%	
17-May-16	720.19	731.06	735.85	718	1.67M	-1.38%	
