Date	        Price	Open	High	Low	Vol.	Change%
12-Feb-16	382.98	377.99	383.53	377.09	10.15K	1.32%	
13-Feb-16	392.99	382.94	393	382.56	14.73K	2.61%	
14-Feb-16	408.3	392.99	408.66	392.97	29.47K	3.90%	
15-Feb-16	399.9	408.3	412.5	395.35	30.13K	-2.06%	
16-Feb-16	407.27	399.9	408.76	398.66	13.99K	1.84%	
17-Feb-16	414.86	407.27	421.74	405.32	30.40K	1.86%	
18-Feb-16	421.5	414.88	426.01	413.08	25.23K	1.60%	
19-Feb-16	419.99	421.5	422.54	412	13.26K	-0.36%	
20-Feb-16	438.7	419.77	445.02	419.72	47.48K	4.45%	
21-Feb-16	440.48	438.7	451.24	428.26	43.01K	0.41%	
22-Feb-16	440.27	440.49	442.48	433.44	16.34K	-0.05%	
23-Feb-16	421.13	440.25	442.64	416.27	32.43K	-4.35%	
24-Feb-16	426.36	421.4	427.48	410.69	22.43K	1.24%	
25-Feb-16	424.88	426.36	429.95	419.5	13.60K	-0.35%	
26-Feb-16	435.31	424.88	435.31	419.97	18.85K	2.45%	
27-Feb-16	434.21	435.49	437.97	431.81	11.59K	-0.25%	
28-Feb-16	434.47	434.21	437.77	422.1	19.86K	0.06%	
29-Feb-16	439.16	434.45	444.79	430.51	20.40K	1.08%	
1-Mar-16	434.82	439.16	442.79	428.5	19.63K	-0.99%	
2-Mar-16	422.22	434.82	436.31	421.12	16.46K	-2.90%	
3-Mar-16	420.56	422.09	424.43	416.4	20.87K	-0.39%	
4-Mar-16	408.82	420.56	423.99	407.66	21.75K	-2.79%	
5-Mar-16	397.36	408.82	410.14	389.74	46.95K	-2.80%	
6-Mar-16	403.91	397.36	409.5	392.02	19.71K	1.65%	
7-Mar-16	412.7	403.75	415.3	401.6	15.31K	2.18%	
8-Mar-16	411.35	412.62	415.9	406	10.23K	-0.33%	
9-Mar-16	412.94	411.35	414.5	407.76	9.03K	0.39%	
10-Mar-16	416.51	413.05	417.17	410.7	13.71K	0.86%	
11-Mar-16	420.49	416.51	423.6	415.5	15.46K	0.96%	
12-Mar-16	410.01	420.47	421.81	406.46	17.02K	-2.49%	
13-Mar-16	411.82	410.01	416	410	7.63K	0.44%	
14-Mar-16	415.99	411.87	417.85	411.83	9.21K	1.01%	
15-Mar-16	415.5	415.91	418.81	412.78	9.63K	-0.12%	
16-Mar-16	417.28	415.5	418	413.96	7.07K	0.43%	
17-Mar-16	418.75	417.28	420.6	416.67	8.31K	0.35%	
18-Mar-16	407.7	418.75	418.86	403.01	21.09K	-2.64%	
19-Mar-16	408.41	407.7	410.73	404	8.96K	0.17%	
20-Mar-16	411.25	408.41	412.97	407.92	5.66K	0.70%	
21-Mar-16	411.88	411.25	412.14	406	7.82K	0.15%	
22-Mar-16	417.69	411.88	418.68	409.88	10.20K	1.41%	
23-Mar-16	418.12	417.7	419.72	415.83	7.19K	0.10%	
24-Mar-16	415.3	418.12	418.12	414	7.56K	-0.67%	
25-Mar-16	416	415.3	417.03	413.03	3.69K	0.17%	
26-Mar-16	416.71	416	418.74	414.51	5.04K	0.17%	
27-Mar-16	427.37	416.71	430.95	415.79	22.33K	2.56%	
28-Mar-16	424.06	427.37	427.98	422.4	9.25K	-0.77%	
29-Mar-16	415.81	424.06	426.41	407.5	23.30K	-1.95%	
30-Mar-16	413.2	416	416	408.58	9.04K	-0.63%	
31-Mar-16	416.02	413.2	418.25	413.04	7.27K	0.68%	
1-Apr-16	417.56	416.02	417.6	414	5.41K	0.37%	
2-Apr-16	420.3	417.9	422.8	417.53	6.12K	0.66%	
3-Apr-16	420.6	420.3	421.73	417.56	4.25K	0.07%	
4-Apr-16	420.46	420.6	421.2	416.25	5.75K	-0.03%	
5-Apr-16	423.75	420.46	424.57	419.61	7.26K	0.78%	
6-Apr-16	422.57	423.75	424.48	421.69	5.68K	-0.28%	
7-Apr-16	422.28	422.57	422.86	417.78	7.73K	-0.07%	
8-Apr-16	418.5	422.28	424.48	415.5	9.85K	-0.90%	
9-Apr-16	418.47	418.5	418.76	412	6.33K	-0.01%	
10-Apr-16	421.32	418.47	422.82	417.49	4.25K	0.68%	
11-Apr-16	423.74	421.32	423.88	418.8	6.40K	0.57%	
12-Apr-16	426.59	423.74	430	423.7	14.77K	0.67%	
13-Apr-16	424.75	426.59	427.68	423	6.67K	-0.43%	
14-Apr-16	426.01	424.75	426.44	424.02	4.13K	0.30%	
15-Apr-16	431.48	426.01	432.43	426.01	15.84K	1.28%	
16-Apr-16	432.04	431.48	435.67	430.47	7.71K	0.13%	
17-Apr-16	428.51	432.52	433.49	426.37	8.48K	-0.82%	
18-Apr-16	430.04	428.51	430.91	426.52	7.58K	0.36%	
19-Apr-16	437.76	430.03	439	428.55	12.05K	1.80%	
20-Apr-16	443.95	437.81	446.49	436.6	21.25K	1.41%	
21-Apr-16	452.03	443.93	454.5	442.27	17.83K	1.82%	
22-Apr-16	447.8	452.26	453.15	444.55	12.21K	-0.94%	
23-Apr-16	453.69	447.8	454.6	445.67	10.16K	1.32%	
24-Apr-16	463.01	453.69	464.98	450.2	24.13K	2.05%	
25-Apr-16	461.77	463.02	471.58	455	25.90K	-0.27%	
26-Apr-16	468.14	461.77	471.99	461.77	18.72K	1.38%	
27-Apr-16	445.09	468.14	469.72	443.42	40.28K	-4.92%	
28-Apr-16	450.46	444.85	450.83	435.01	25.33K	1.21%	
29-Apr-16	455.32	450.46	457.38	445.8	13.42K	1.08%	
30-Apr-16	446.6	455.32	455.98	445.07	10.58K	-1.92%	
1-May-16	451.11	446.6	452.95	445.69	3.90K	1.01%	
2-May-16	443.73	451.12	452.5	436.01	29.74K	-1.64%	
3-May-16	450.39	443.73	452	440.1	12.16K	1.50%	
4-May-16	447.38	450.39	450.98	445.08	7.05K	-0.67%	
5-May-16	448.4	447.38	450.43	446.15	10.79K	0.23%	
6-May-16	461.18	448.4	465	448	26.54K	2.85%	
7-May-16	460.2	461.18	463.03	458.3	7.81K	-0.21%	
8-May-16	459.87	460.2	461.62	456.04	6.45K	-0.07%	
9-May-16	461.56	459.87	465.4	457.8	15.12K	0.37%	
10-May-16	450.7	461.56	464	446.17	22.57K	-2.35%	
11-May-16	452.28	450.7	454.67	450.05	8.03K	0.35%	
12-May-16	455	452.28	456.1	445.94	18.08K	0.60%	
13-May-16	455.77	455.01	457.49	452	7.13K	0.17%	
14-May-16	455.8	455.76	458.5	454.1	3.61K	0.01%	
15-May-16	457.89	455.8	460.67	454.71	5.64K	0.46%	
16-May-16	453	457.89	458.95	451.01	8.77K	-1.07%	
17-May-16	453.24	453	454.91	451.03	7.63K	0.05%	
18-May-16	453.51	453.24	456.89	451.53	7.16K	0.06%	
19-May-16	435	453.52	454.7	433.01	30.35K	-4.08%	
20-May-16	441.57	434.55	443.14	433.01	14.29K	1.51%	
21-May-16	440.81	441.57	442.16	436.98	6.22K	-0.17%	
22-May-16	437.48	440.81	440.99	435.1	7.24K	-0.76%	
23-May-16	443.66	437.48	444.4	436.52	7.87K	1.41%	
24-May-16	445.03	443.51	447.83	442.39	8.33K	0.31%	
25-May-16	449.06	445.03	450.36	443	12.35K	0.91%	
26-May-16	453.95	449.09	454.7	446.01	9.52K	1.09%	
27-May-16	472.03	453.95	482.28	453.58	59.12K	3.98%	
